date,name,printed_name,mana_cost,type_line,colors,edition_code,edition_pt,url,prices,prices_mean,prices_median
2025-05-02,Dark Ritual,Ritual Sombrio,{B},Instant,['B'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=dark+ritual,[ 9.25  9.34  9.75 10.62 10.7  11.   11.99 12.  ],10.58125,10.66
2025-05-02,Defensive Formation,Formação Defensiva,{W},Enchantment,['W'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=defensive+formation,[0.23 0.45 0.5  0.5  0.5  0.5  0.5  0.5 ],0.46,0.5
2025-05-02,Despondency,Desalento,{1}{B},Enchantment — Aura,['B'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=despondency,[0.04 0.08 0.08 0.08 0.09 0.09 0.09 0.11],0.0825,0.08499999999999999
2025-05-02,Destructive Urge,ímpeto Destrutivo,{1}{R}{R},Enchantment — Aura,['R'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=destructive+urge,[0.67 5.59 5.7  5.99 6.3  6.53 6.64 6.9 ],5.54,6.145
2025-05-02,Diabolic Servitude,Servidão Diabólica,{3}{B},Enchantment,['B'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=diabolic+servitude,[0.14 0.18 0.25 0.25 0.35 0.35 0.38 0.39],0.28625,0.3
2025-05-02,Disciple of Grace,Discípulo da Graça,{1}{W},Creature — Human Cleric,['W'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=disciple+of+grace,[0.07 0.07 0.09 0.09 0.09 0.09 0.1  0.15],0.09375,0.09
2025-05-02,Disciple of Law,Discípulo da Lei,{1}{W},Creature — Human Cleric,['W'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=disciple+of+law,[0.09 0.09 0.1  0.11 0.12 0.18 0.25 0.3 ],0.155,0.11499999999999999
2025-05-02,Discordant Dirge,Nênia Dissonante,{3}{B}{B},Enchantment,['B'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=discordant+dirge,[0.59 0.64 0.7  0.7  0.75 0.88 0.89 0.9 ],0.75625,0.725
2025-05-02,Disenchant,Desencantar,{1}{W},Instant,['W'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=disenchant,[0.05 0.08 0.08 0.09 0.09 0.09 0.09 0.14],0.08875,0.09
2025-05-02,Disorder,Desordem,{1}{R},Sorcery,['R'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=disorder,[0.2  0.23 0.25 0.25 0.25 0.27 0.27 0.27],0.24875,0.25
2025-05-02,Disruptive Student,Aluno Destruidor,{2}{U},Creature — Human Wizard,['U'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=disruptive+student,[0.1  0.25 0.25 0.25 0.4  0.4  0.49 0.5 ],0.33,0.325
2025-05-02,Douse,Abafar,{2}{U},Enchantment,['U'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=douse,[0.53 0.56 0.63 0.64 0.75 0.85 0.9  0.93],0.7237500000000001,0.6950000000000001
2025-05-02,Dragon Blood,Sangue de Dragão,{3},Artifact,[],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=dragon+blood,[0.17 0.18 0.18 0.18 0.2  0.23 0.25 0.25],0.205,0.19
2025-05-02,Drifting Djinn,Gênio Errante,{4}{U}{U},Creature — Djinn,['U'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=drifting+djinn,[135.     3.     9.9   10.51  10.99  10.99  12.54  14.99],25.99,10.99
2025-05-02,Drifting Meadow,Campina Flutuante,,Land,[],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=drifting+meadow,[0.18 0.18 0.19 0.24 0.25 0.25 0.25 0.25],0.22375,0.245
2025-05-02,Dromosaur,Dromossauro,{2}{R},Creature — Dinosaur,['R'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=dromosaur,[0.08 0.08 0.09 0.09 0.09 0.1  0.11 0.11],0.09375,0.09
2025-05-02,Duress,Coergir,{B},Sorcery,['B'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=duress,[],0.0,
2025-05-02,Eastern Paladin,Paladino do Leste,{2}{B}{B},Creature — Phyrexian Zombie Knight,['B'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=eastern+paladin,[0.8  0.99 1.05 1.5  1.94 2.   2.09 2.24],1.57625,1.72
2025-05-02,Electryte,Electrita,{3}{R}{R},Creature — Trilobite Beast,['R'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=electryte,[0.45 0.5  0.51 0.57 0.72 0.75 0.81 0.86],0.64625,0.645
2025-05-02,Elite Archers,Arqueiros de Elite,{5}{W},Creature — Human Soldier Archer,['W'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=elite+archers,[  0.39   0.75   0.99   1.16   1.23   1.28   1.45 149.  ],19.53125,1.1949999999999998
2025-05-02,Elvish Herder,Elfo Boiadeiro,{G},Creature — Elf,['G'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=elvish+herder,[3.59 4.03 4.25 4.47 4.49 4.75 4.9  4.9 ],4.422499999999999,4.48
2025-05-02,Elvish Lyrist,Elfo Lirista,{G},Creature — Elf,['G'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=elvish+lyrist,[0.14 0.14 0.2  0.25 0.43 0.5  0.5  0.5 ],0.3325,0.33999999999999997
2025-05-02,Enchantment Alteration,Alteração de Encantamento,{U},Instant,['U'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=enchantment+alteration,[0.54 1.7  2.49 2.59 2.9  2.95 2.99 3.25],2.42625,2.745
2025-05-02,Endless Wurm,Vorme Interminável,{3}{G}{G},Creature — Wurm,['G'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=endless+wurm,[ 4.5   5.48  5.5  10.49 12.99 14.75 14.99 14.99],10.46125,11.74
2025-05-02,Endoskeleton,Endoesqueleto,{2},Artifact,[],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=endoskeleton,[0.09 0.1  0.14 0.14 0.2  0.23 0.23 0.23],0.17,0.17
2025-05-02,Energy Field,Campo de Energia,{1}{U},Enchantment,['U'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=energy+field,[5.84 5.95 6.5  6.68 6.94 7.73 8.   8.09],6.9662500000000005,6.8100000000000005
2025-05-02,Exhaustion,Exaustão,{2}{U},Sorcery,['U'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=exhaustion,[  1.35   1.35   1.43 148.   149.     1.5    1.71   1.75],38.26125,1.605
2025-05-02,Exhume,Exumar,{1}{B},Sorcery,['B'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=exhume,[21.5  22.99 24.9  26.75 27.12 27.19 28.9  29.61],26.12,26.935000000000002
2025-05-02,Exploration,Exploração,{G},Enchantment,['G'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=exploration,[252.7  259.9  293.63 314.99 316.35 320.   349.99 468.99],322.06875,315.67
2025-05-02,Expunge,Expungir,{2}{B},Instant,['B'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=expunge,[0.07 0.09 0.14 0.14 0.14 0.18 0.2  0.23],0.14875,0.14
2025-05-02,Faith Healer,Curandeiro da Fé,{1}{W},Creature — Human Cleric,['W'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=faith+healer,[6.99 8.   8.09 8.55 8.9  8.95 8.99 9.  ],8.43375,8.725000000000001
2025-05-02,Falter,Vacilar,{1}{R},Instant,['R'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=falter,[0.08 0.09 0.09 0.09 0.1  0.1  0.11 0.11],0.09625,0.095
2025-05-02,Fault Line,Paráclase,{X}{R}{R},Instant,['R'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=fault+line,[ 6.95  9.5   9.95 11.73 12.5  12.95 12.99 13.49],11.2575,12.115
2025-05-02,Fecundity,Fecundidade,{2}{G},Enchantment,['G'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=fecundity,[  0.9  141.     1.35   2.     2.04   2.09   2.49   2.54],19.30125,2.065
2025-05-02,Fertile Ground,Solo Fértil,{1}{G},Enchantment — Aura,['G'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=fertile+ground,[0.5  0.5  0.5  0.5  0.59 0.6  0.6  0.74],0.5662499999999999,0.5449999999999999
2025-05-02,Fiery Mantle,Manto Flamejante,{1}{R},Enchantment — Aura,['R'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=fiery+mantle,[0.09 0.09 0.09 0.11 0.11 0.11 0.12 0.13],0.10625,0.11
2025-05-02,Fire Ants,Formigas de Fogo,{2}{R},Creature — Insect,['R'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=fire+ants,[0.08 0.25 0.25 0.25 0.32 0.35 0.36 0.41],0.28375,0.28500000000000003
2025-05-02,Flesh Reaver,Dilacerador de Carne,{1}{B},Creature — Phyrexian Horror,['B'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=flesh+reaver,[0.18 0.48 0.5  0.59 0.65 1.   1.4  1.5 ],0.7875,0.62
2025-05-02,Fluctuator,Flutuador,{2},Artifact,[],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=fluctuator,[ 7.99 14.94 13.99 19.74 19.9  29.9  37.91 39.73],23.0125,19.82
2025-05-02,Fog Bank,Banco de Nevoeiro,{1}{U},Creature — Wall,['U'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=fog+bank,[0.39 0.4  0.45 0.75 0.75 0.75 0.35 0.9 ],0.5925,0.6
2025-05-02,Forest,Floresta,,Basic Land — Forest,[],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=forest,[],0.0,
2025-05-02,Fortitude,Fortitude,{1}{G},Enchantment — Aura,['G'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=fortitude,[0.09 0.11 0.13 0.15 0.2  0.2  0.2  0.25],0.16625,0.175
2025-05-02,Gaea's Bounty,Prêmio de Géia,{2}{G},Sorcery,['G'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=gaea's+bounty,[0.09 0.09 0.09 0.11 0.11 0.14 0.15 0.16],0.1175,0.11
2025-05-02,Gaea's Cradle,Berço de Géia,,Legendary Land,[],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=gaea's+cradle,[2699.98 2999.9  3199.   3325.   3570.   3860.   3908.32 3917.55],3434.96875,3447.5
2025-05-02,Gaea's Embrace,Abraço de Géia,{2}{G}{G},Enchantment — Aura,['G'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=gaea's+embrace,[  1.25   1.26   1.26 139.     1.43   1.7    1.7    1.79],18.67375,1.565
2025-05-02,Gamble,Transação Aleatória,{R},Sorcery,['R'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=gamble,[46.12 49.75 49.9  49.9  50.   50.   52.73 52.9 ],50.1625,49.95
2025-05-02,Gilded Drake,Dragonete Engalanado,{1}{U},Creature — Drake,['U'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=gilded+drake,[640.   649.99 699.75 699.99 799.   799.9  800.   805.49],736.7650000000001,749.495
2025-05-02,Glorious Anthem,Antífona Gloriosa,{1}{W}{W},Enchantment,['W'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=glorious+anthem,[ 3.   14.63 18.  ],11.876666666666669,14.63
2025-05-02,Goblin Cadets,Cadetes Goblins,{R},Creature — Goblin,['R'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=goblin+cadets,[1.04 1.2  1.62 1.69 1.69 1.93 1.93 1.99],1.63625,1.69
2025-05-02,Goblin Lackey,Lacaio Goblin,{R},Creature — Goblin,['R'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=goblin+lackey,[ 93.   104.9  104.95 115.95 117.   124.9  134.9  142.45],117.25625,116.475
2025-05-02,Goblin Matron,Matrona Goblin,{2}{R},Creature — Goblin,['R'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=goblin+matron,[2.95 3.   3.3  3.9  3.99 4.5  4.79 4.9 ],3.91625,3.9450000000000003
2025-05-02,Goblin Offensive,Ofensiva de Goblins,{X}{1}{R}{R},Sorcery,['R'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=goblin+offensive,[3.   3.05 4.25 4.28 6.09 6.37 7.99 9.99],5.6275,5.1850000000000005
2025-05-02,Goblin Patrol,Patrulha de Goblins,{R},Creature — Goblin,['R'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=goblin+patrol,[0.09 0.15 0.16 0.19 0.24 0.25 0.25 0.25],0.1975,0.215
2025-05-02,Goblin Raider,Goblin Salteador,{1}{R},Creature — Goblin Warrior,['R'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=goblin+raider,[0.07 0.08 0.09 0.09 0.09 0.09 0.11 0.11],0.09125,0.09
2025-05-02,Goblin Spelunkers,Goblins Espeleólogos,{2}{R},Creature — Goblin Warrior,['R'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=goblin+spelunkers,[0.09 0.09 0.09 0.09 0.09 0.09 0.1  0.1 ],0.0925,0.09
2025-05-02,Goblin War Buggy,Carro de Guerra dos Goblins,{1}{R},Creature — Goblin,['R'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=goblin+war+buggy,[0.09 0.09 0.09 0.09 0.09 0.1  0.11 0.11],0.09625,0.09
2025-05-02,Gorilla Warrior,Gorila Guerreiro,{2}{G},Creature — Ape Warrior,['G'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=gorilla+warrior,[0.03 0.03 0.05 0.06 0.09 0.09 0.09 0.1 ],0.0675,0.075
2025-05-02,Grafted Skullcap,Solidéu Enxertado,{4},Artifact,[],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=grafted+skullcap,[1.   1.44 1.5  1.95 2.   2.79 2.99 2.99],2.0825,1.975
2025-05-02,Greater Good,Bem Maior,{2}{G}{G},Enchantment,['G'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=greater+good,[22.94 28.04 39.92 42.11 42.73 42.9  43.27 46.  ],38.48875,42.42
2025-05-02,Great Whale,Baleia Açu,{5}{U}{U},Creature — Whale,['U'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=great+whale,[52.9  55.   59.9  59.9  59.95 59.95 59.98 60.  ],58.4475,59.925
2025-05-02,Greener Pastures,Pastagens Verdejantes,{2}{G},Enchantment,['G'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=greener+pastures,[  0.94   0.95   0.96   0.99   1.     1.32   1.35 141.  ],18.56375,0.995
2025-05-02,Guma,Guma,{2}{R},Creature — Cat,['R'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=guma,[0.06 0.18 0.18 0.23 0.24 0.25 0.27 0.27],0.21,0.235
2025-05-02,Hawkeater Moth,Mariposa Falconívora,{3}{G},Creature — Insect,['G'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=hawkeater+moth,[0.18 0.18 0.2  0.2  0.2  0.23 0.23 0.23],0.20625,0.2
2025-05-02,Headlong Rush,Investida Arrojada,{1}{R},Instant,['R'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=headlong+rush,[0.09 0.09 0.09 0.09 0.11 0.11 0.11 0.11],0.1,0.1
2025-05-02,Healing Salve,Bálsamo Restaurador,{W},Instant,['W'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=healing+salve,[0.09 0.09 0.09 0.09 0.09 0.1  0.11 0.11],0.09625,0.09
2025-05-02,Heat Ray,Raio de Calor,{X}{R},Instant,['R'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=heat+ray,[0.05 0.09 0.09 0.09 0.09 0.1  0.1  0.1 ],0.08875,0.09
2025-05-02,Herald of Serra,Arauto de Serra,{2}{W}{W},Creature — Angel,['W'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=herald+of+serra,[ 8.5   9.5   9.9   9.9  10.34 10.49 10.5  10.8 ],9.99125,10.120000000000001
2025-05-02,Hermetic Study,Estudo Hermético,{1}{U},Enchantment — Aura,['U'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=hermetic+study,[0.08 0.09 0.09 0.09 0.09 0.11 0.18 0.2 ],0.11625,0.09
2025-05-02,Hibernation,Hibernação,{2}{U},Instant,['U'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=hibernation,[1.53 1.79 2.9  3.4  4.59 4.73 5.   5.93],3.73375,3.995
2025-05-02,Hidden Ancients,Anciões Escondidos,{1}{G},Enchantment,['G'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=hidden+ancients,[0.04 0.14 0.14 0.2  0.23 0.23 0.24 0.3 ],0.19,0.21500000000000002
2025-05-02,Hidden Guerrillas,Guerrilheiros Escondidos,{G},Enchantment,['G'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=hidden+guerrillas,[0.27 0.36 0.36 0.36 0.41 0.41 0.45 0.45],0.38375,0.385
2025-05-02,Hidden Herd,Rebanho Escondido,{G},Enchantment,['G'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=hidden+herd,[0.79 0.9  1.3  1.44 1.5  1.5  1.75 1.75],1.36625,1.47
2025-05-02,Hidden Predators,Predadores Escondidos,{G},Enchantment,['G'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=hidden+predators,[  0.75   0.3    0.81   0.95   0.99   1.     1.17 125.  ],16.37125,0.97
2025-05-02,Hidden Spider,Aranha Escondida,{G},Enchantment,['G'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=hidden+spider,[0.45 0.48 0.55 0.63 0.68 0.85 0.35 0.9 ],0.6112500000000001,0.5900000000000001
2025-05-02,Hidden Stag,Cervo Escondido,{1}{G},Enchantment,['G'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=hidden+stag,[0.36 0.5  0.54 0.63 0.7  0.86 0.89 0.9 ],0.6725,0.665
2025-05-02,Hollow Dogs,Cães Ôcos,{4}{B},Creature — Phyrexian Zombie Dog,['B'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=hollow+dogs,[0.06 0.08 0.09 0.11 0.11 0.13 0.13 0.13],0.105,0.11
2025-05-02,Hopping Automaton,Autômato Pulador,{3},Artifact Creature — Construct,[],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=hopping+automaton,[0.09 0.09 0.1  0.13 0.14 0.18 0.18 0.18],0.1362499999999999,0.135
2025-05-02,Horseshoe Crab,Caranguejo Ferradura,{2}{U},Creature — Crab,['U'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=horseshoe+crab,[0.07 0.08 0.09 0.09 0.11 0.14 0.14 0.18],0.1125,0.1
2025-05-02,Humble,Modéstia,{1}{W},Instant,['W'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=humble,[0.08 0.1  0.11 0.14 0.15 0.18 0.18 0.19],0.14125,0.14500000000000002
2025-05-02,Hush,Quietude,{3}{G},Sorcery,['G'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=hush,[0.17 0.18 0.18 0.18 0.2  0.2  0.23 0.24],0.1975,0.19
2025-05-02,Ill-Gotten Gains,Ganhos Mal Adquiridos,{2}{B}{B},Sorcery,['B'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=ill-gotten+gains,[ 6.6   9.78 10.74 10.99 11.   14.84 29.99 34.99],16.11625,10.995000000000001
2025-05-02,Imaginary Pet,Mascote Imaginário,{1}{U},Creature — Illusion,['U'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=imaginary+pet,[  0.96   0.99 109.     1.12   1.13   1.19   1.24   1.25],14.61,1.16
2025-05-02,Intrepid Hero,Herói Intrépido,{2}{W},Creature — Human Soldier,['W'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=intrepid+hero,[ 7.    7.34 19.99 19.99 21.04 24.99],16.724999999999998,19.99
2025-05-02,Island,Ilha,,Basic Land — Island,[],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=island,[],0.0,
2025-05-02,Jagged Lightning,Raio Repartido,{3}{R}{R},Sorcery,['R'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=jagged+lightning,[0.08 0.1  0.14 0.18 0.18 0.18 0.19 0.2 ],0.15625,0.18
2025-05-02,"Karn, Silver Golem","Karn, Golem de Prata",{5},Legendary Artifact Creature — Golem,[],USG,A Saga de Urza,"https://www.ligamagic.com.br/?view=cards/card&card=karn,+silver+golem",[44.96 47.5  43.9  49.99 50.   50.35 54.93 56.8 ],49.80375,49.995000000000005
2025-05-02,Launch,Lançar,{1}{U},Enchantment — Aura,['U'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=launch,[0.09 0.1  0.14 0.14 0.14 0.15 0.15 0.18],0.13625,0.14
2025-05-02,Lay Waste,Assolar,{3}{R},Sorcery,['R'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=lay+waste,[0.09 0.09 0.11 0.11 0.13 0.14 0.14 0.15],0.12,0.12
2025-05-02,Lifeline,Linha Vital,{5},Artifact,[],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=lifeline,[40.8  45.91 54.15 57.   57.5  58.   53.7  58.72],53.2225,55.575
2025-05-02,Lightning Dragon,Dragão do Relâmpago,{2}{R}{R},Creature — Dragon,['R'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=lightning+dragon,[ 9.75 11.88 11.98 12.95 13.83 14.   14.   14.  ],12.79875,13.39
2025-05-02,Lilting Refrain,Refrão Cadenciado,{1}{U},Enchantment,['U'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=lilting+refrain,[0.1  0.25 0.3  0.39 0.43 0.5  0.5  0.5 ],0.3712499999999999,0.41000000000000003
2025-05-02,Lingering Mirage,Miragem Duradoura,{1}{U},Enchantment — Aura,['U'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=lingering+mirage,[0.25 0.25 0.29 0.32 0.35 0.35 0.35 0.36],0.3149999999999999,0.33499999999999996
2025-05-02,Looming Shade,Vulto Indistinto,{2}{B},Creature — Shade,['B'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=looming+shade,[0.04 0.09 0.09 0.09 0.09 0.09 0.09 0.1 ],0.0849999999999999,0.09
2025-05-02,Lotus Blossom,Flor de Lótus,{2},Artifact,[],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=lotus+blossom,[2.39 2.53 4.95 5.6  5.93 6.   6.   6.  ],4.925,5.765
2025-05-02,Lull,Calmaria,{1}{G},Instant,['G'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=lull,[0.05 0.09 0.1  0.14 0.15 0.18 0.2  0.25],0.145,0.14500000000000002
2025-05-02,Lurking Evil,Perversidade Furtiva,{B}{B}{B},Enchantment,['B'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=lurking+evil,[  0.27   0.9    0.9    1.     1.   108.   125.   134.  ],46.38375,1.0
2025-05-02,Mana Leech,Sanguessuga de Mana,{2}{B},Creature — Leech,['B'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=mana+leech,[0.18 0.2  0.23 0.23 0.24 0.25 0.25 0.27],0.23125,0.235
2025-05-02,Meltdown,Fusão,{X}{R},Sorcery,['R'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=meltdown,[ 4.28  5.09  6.65  8.99  9.6   9.95 10.2  12.  ],8.345,9.295
2025-05-02,Metrognome,Metrognomo,{4},Artifact,[],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=metrognome,[  0.61   0.7    0.75   0.95 125.     1.25 139.     1.44],33.7125,1.1
2025-05-02,Midsummer Revel,Festa do Solstício de Verão,{3}{G}{G},Enchantment,['G'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=midsummer+revel,[0.77 0.9  0.95 0.95 0.99 1.   1.   1.1 ],0.9575,0.97
2025-05-02,Mishra's Helix,Hélice de Mishra,{5},Artifact,[],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=mishra's+helix,[ 4.95  5.    9.95 11.99 12.74 12.9  14.99 15.  ],10.94,12.365
2025-05-02,Mobile Fort,Forte Móvel,{4},Artifact Creature — Wall,[],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=mobile+fort,[0.1  0.14 0.15 0.2  0.2  0.2  0.23 0.24],0.1825,0.2
2025-05-02,Monk Idealist,Monge Idealista,{2}{W},Creature — Human Monk Cleric,['W'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=monk+idealist,[0.3  0.38 0.39 0.39 0.47 0.48 0.49 0.49],0.4237499999999999,0.43
2025-05-02,Monk Realist,Monge Realista,{1}{W},Creature — Human Monk Cleric,['W'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=monk+realist,[0.11 0.18 0.18 0.18 0.25 0.25 0.25 0.25],0.20625,0.215
2025-05-02,Morphling,Morfolídeo,{3}{U}{U},Creature — Shapeshifter,['U'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=morphling,[45.   50.   54.99 55.   59.5  59.99 64.99 65.  ],56.80875,57.25
2025-05-02,Mountain,Montanha,,Basic Land — Mountain,[],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=mountain,[],0.0,
2025-05-02,Noetic Scales,Escalas Poéticas,{4},Artifact,[],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=noetic+scales,[14.5  17.   19.   19.   19.9  21.   21.04 21.24],19.085,19.45
2025-05-02,No Rest for the Wicked,Sem Descanso para o Mal,{1}{B},Enchantment,['B'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=no+rest+for+the+wicked,[2.09 2.09 2.11 2.31 2.54 2.57 2.67 2.78],2.395,2.425
2025-05-02,Okk,Okk,{1}{R},Creature — Goblin,['R'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=okk,[0.45 0.46 0.5  0.68 0.89 0.92 0.94 0.99],0.72875,0.785
2025-05-02,Opal Acrolith,Acrólita de Opala,{2}{W},Enchantment,['W'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=opal+acrolith,[0.07 0.09 0.09 0.09 0.11 0.11 0.18 0.18],0.1149999999999999,0.1
2025-05-02,Opal Archangel,Arcanjo de Opala,{4}{W},Enchantment,['W'],USG,A Saga de Urza,https://www.ligamagic.com.br/?view=cards/card&card=opal+archangel,[6.5  6.75 6.39 6.93 7.69 7.75 7.75 7.75],7.188750000000001,7.3100000000000005
